total_meta_score,publication_01,publication_02,publication_03,publication_04,publication_05,publication_06,publication_07,publication_08,publication_09,publication_10,publication_11,publication_12,publication_13,publication_14,publication_15,publication_16,publication_17,publication_18,publication_19,publication_20,publication_21,publication_22,publication_24,publication_25,publication_26,publication_27,publication_28,publication_29,publication_30,publication_31,publication_32,publication_33,publication_34,publication_35,publication_36,publication_37,publication_38,publication_39,publication_40,publication_41,publication_42,publication_43,publication_44,publication_45,publication_46,publication_47,publication_48,publication_49,publication_50,publication_51,publication_52,publication_53,publication_54,publication_55,publication_56,publication_57,publication_58,publication_59,publication_60,publication_61,publication_62,publication_63,publication_64,publication_65,publication_66,publication_67,publication_68,publication_69,publication_70,publication_71,publication_72,publication_73,publication_74,publication_75,publication_76,publication_77,publication_78,publication_79,publication_80,publication_81,publication_82,publication_83,publication_84,publication_85,publication_86,publication_87,publication_88,publication_89,publication_90,publication_91,publication_92,publication_93,Sputnikmusic
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,60,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,90,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,52,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,60,NA,78,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,70,80
83,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,80,NA,NA,NA,NA,70,80,NA,NA,NA,75,NA,NA,NA,NA,NA,80,NA,NA,NA,60,NA,80,80,70,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,88,70,NA,NA,60,NA,NA,NA,70,91,NA,NA,NA,80,NA,NA,70,50,NA,79,NA,NA,NA,NA,90,90,NA,NA,80,NA,85,NA,NA,90,70,NA,NA,NA,NA,NA,60,85,80
82,NA,80,NA,NA,NA,NA,NA,80,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,88,NA,NA,NA,NA,90,NA,60,65,80,NA,90,NA,NA,60,NA,NA,83,75,NA,NA,NA,NA,NA,84,NA,90,60,NA,NA,80,60,91,NA,80,NA,78,NA,NA,NA,80,NA,NA,100,NA,90,NA,NA,80,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,80,NA,80,NA,NA,54
62,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,70,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,20,NA,NA,50,NA,NA,NA,40,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
88,NA,80,89,NA,NA,NA,100,NA,100,NA,90,NA,NA,60,NA,NA,80,75,NA,NA,NA,NA,80,NA,NA,78,90,NA,NA,NA,70,NA,90,NA,60,95,80,NA,80,NA,NA,NA,80,NA,91,NA,90,80,NA,NA,NA,91,NA,90,80,40,NA,80,80,75,NA,90,NA,92,NA,NA,90,90,NA,NA,100,NA,80,NA,NA,80,NA,NA,NA,100,NA,80,NA,NA,100,NA,NA,80,NA,90,90,NA,85
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,70,60,NA,NA,60,NA,NA,NA,NA,NA,70,NA,60,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,79,73,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,50,80,70
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,80,NA,NA,NA,NA,NA,NA,NA,85,70
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,80,NA,NA,NA,NA,70,NA,70,NA,85,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,80
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,80,NA,NA,70,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,70,NA,NA,NA,80,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,60,NA,NA,NA,60,NA,91,NA,NA,NA,NA,NA,NA,80,NA,75,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,80,NA,NA,80,NA,70
73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,70,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,60,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,80,58,NA,80,NA,NA,NA,NA,80,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,70,80
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,80,80,NA,NA,NA,NA,93,NA,90,NA,80,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,80,83,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,100,NA,80,NA,NA,NA,NA,NA,60,80,NA,90,NA,NA,NA,NA,NA,NA,85,90
47,NA,NA,NA,NA,NA,70,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,50
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,10,70,NA,NA,NA,80,NA,NA,NA,NA,NA,90
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,80,NA,NA,80,NA,NA,NA,NA,NA,40,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,70,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,40,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,80,NA,70,80,NA,NA,NA,NA,NA,NA,70,NA,50,70
80,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,NA,80,NA,NA,NA,NA,70,NA,NA,70,NA,NA,NA,70,NA,70,70,NA,NA,90,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,91,NA,80,NA,100,NA,NA,80,60,NA,64,NA,NA,NA,NA,NA,80,NA,NA,80,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,60,80,NA,90
73,NA,60,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,80,NA,NA,80,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,72,NA,80,NA,NA,NA,80,NA,NA,NA,NA,76,NA,NA,60,NA,NA,NA,NA,NA,60,NA,NA,60,NA,NA,NA,80,NA,NA,60,NA,50,NA,NA,NA,NA,NA,NA,NA,50
66,NA,NA,67,80,NA,NA,75,NA,NA,NA,NA,NA,70,NA,NA,NA,60,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,80,20,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,40,NA,NA,80,NA,70,NA,NA,40,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,60,NA,NA,NA,60,NA,80,NA,60,NA,NA,60
76,NA,60,NA,NA,NA,NA,83,NA,NA,50,80,NA,NA,NA,NA,NA,60,NA,NA,NA,88,NA,NA,80,NA,NA,NA,NA,NA,NA,40,NA,90,NA,60,NA,70,NA,100,70,NA,NA,NA,NA,80,NA,60,40,NA,NA,82,65,79,NA,80,80,NA,NA,80,75,NA,50,NA,82,NA,NA,80,70,NA,61,100,NA,80,NA,NA,60,NA,NA,80,NA,NA,80,80,NA,NA,NA,NA,NA,NA,70,60,60,70
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,40,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74
71,70,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,60,NA,NA,NA,70,NA,NA,80,NA,NA,NA,60,NA,NA,50,NA,86,NA,NA,70,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,70
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,40,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,60,NA,80,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,58,NA,NA,60,50,NA,NA,60,NA,NA,NA,NA,48,NA,NA,70,NA,NA,NA,NA,NA,80,NA,NA,0,NA,NA,NA,60,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
62,NA,40,40,NA,NA,NA,83,NA,NA,NA,50,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,80,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,80,80,NA,20,NA,NA,NA,NA,NA,60,NA,70
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
84,NA,80,NA,NA,NA,NA,NA,NA,58,NA,70,NA,NA,NA,NA,80,80,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,90,NA,80,NA,NA,90,80,NA,NA,NA,NA,80,80,NA,83,NA,NA,NA,NA,NA,NA,83,NA,85,NA,80,NA,80,NA,NA,NA,80,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,80
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,80,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74
86,NA,NA,78,NA,NA,NA,91,NA,NA,90,80,NA,NA,NA,NA,NA,80,63,90,NA,100,NA,NA,80,NA,NA,NA,NA,100,NA,80,NA,60,90,100,NA,50,NA,75,90,NA,NA,NA,90,90,NA,80,NA,NA,NA,NA,95,87,NA,100,NA,NA,NA,80,91,NA,80,NA,90,NA,NA,100,80,NA,81.5,NA,NA,80,NA,NA,80,NA,NA,90,NA,NA,70,90,90,80,NA,NA,NA,NA,70,80,80,65
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,70
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,40,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,80,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,80,NA,NA,NA,50,NA,NA,70
84,NA,NA,NA,NA,91,NA,NA,NA,NA,90,80,NA,NA,NA,80,80,80,88,NA,NA,63,NA,80,70,NA,NA,70,80,NA,NA,80,NA,NA,NA,80,NA,80,NA,100,NA,NA,70,NA,80,80,85,NA,NA,NA,NA,88,85,85,NA,80,70,NA,NA,80,100,NA,NA,NA,72,NA,NA,70,NA,NA,86,NA,NA,80,NA,NA,80,NA,NA,90,NA,NA,NA,90,NA,80,NA,NA,NA,NA,70,70,85,100
50,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,20,25,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,10,80,NA,NA,68,NA,NA,NA,NA,10,60,NA,NA,NA,NA,NA,NA,50,NA,NA,40
90,NA,80,NA,NA,NA,NA,91,NA,100,NA,90,80,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,80,NA,NA,NA,90,NA,98,NA,NA,NA,60,NA,80,85,80,NA,NA,NA,NA,NA,NA,NA,100,NA,90,80,NA,NA,NA,93,NA,95,100,90,NA,80,80,100,NA,90,NA,95,NA,NA,90,80,NA,90,100,NA,90,NA,NA,90,NA,NA,80,80,NA,90,NA,NA,90,NA,70,80,NA,80,85,NA,90
56,NA,NA,NA,70,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,60,40,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,40,NA,NA,50
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,86
64,NA,NA,NA,80,NA,NA,67,NA,NA,NA,60,NA,NA,NA,NA,NA,60,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,40,60,NA,40,NA,80,40,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,60,NA,NA,NA,40,91,83,50,NA,43,NA,NA,40,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,60,70,NA,NA,NA,80,20,35,80
68,NA,60,NA,NA,NA,NA,42,NA,75,NA,90,NA,NA,40,NA,NA,60,50,80,NA,75,NA,50,70,NA,NA,75,NA,NA,NA,NA,NA,60,NA,40,40,80,NA,NA,80,NA,NA,NA,70,70,NA,50,60,NA,NA,60,61,62,NA,40,40,NA,40,80,75,NA,60,NA,68,NA,NA,70,60,NA,80,NA,NA,80,NA,NA,80,68,NA,50,80,NA,80,80,NA,40,NA,NA,NA,NA,60,40,NA,56
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,70,NA,NA,66
45,NA,NA,NA,80,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,40
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
73,NA,40,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,70,80,NA,NA,NA,NA,NA,NA,60,NA,70,NA,40,90,70,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,60,91,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,80,NA,NA,70,NA,NA,NA,80,NA,80,NA,NA,70,NA,NA,NA,NA,NA,75,NA,84
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,79,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,80
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,80,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,80,NA,NA,80,80,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,80
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,70
