total_meta_score,publication_01,publication_02,publication_03,publication_04,publication_05,publication_06,publication_07,publication_08,publication_09,publication_10,publication_11,publication_12,publication_13,publication_14,publication_15,publication_16,publication_17,publication_18,publication_19,publication_20,publication_21,publication_22,publication_24,publication_25,publication_26,publication_27,publication_28,publication_29,publication_30,publication_31,publication_32,publication_33,publication_34,publication_35,publication_36,publication_37,publication_38,publication_39,publication_40,publication_41,publication_42,publication_43,publication_44,publication_45,publication_46,publication_47,publication_48,publication_49,publication_50,publication_51,publication_52,publication_53,publication_54,publication_55,publication_56,publication_57,publication_58,publication_59,publication_60,publication_61,publication_62,publication_63,publication_64,publication_65,publication_66,publication_67,publication_68,publication_69,publication_70,publication_71,publication_72,publication_73,publication_74,publication_75,publication_76,publication_77,publication_78,publication_79,publication_80,publication_81,publication_82,publication_83,publication_84,publication_85,publication_86,publication_87,publication_88,publication_89,publication_90,publication_91,publication_92,publication_93,Sputnikmusic
66,NA,NA,NA,70,NA,NA,75,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,70,NA,NA,NA,70,50,NA,40
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,65,NA,NA,NA,NA,NA,70,NA,60,NA,70,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,60,83,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,60,45,NA,58
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,80,80,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,100,90,NA,80,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,80
64,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,70,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,70
81,NA,60,NA,NA,NA,NA,91,NA,NA,NA,70,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,80,NA,NA,NA,80,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,60,83,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,80,NA,90,NA,NA,NA,70,NA,70,NA,NA,NA,NA,NA,80,NA,70,NA,NA,30
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
75,NA,NA,50,60,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,70,NA,NA,NA,NA,NA,60,NA,40,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,86,66,NA,NA,60,NA,NA,NA,NA,91,NA,NA,NA,60,NA,NA,NA,60,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,90,NA,80,NA,NA,NA,60,70,85,90
57,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,30,30,NA,NA,40,NA,90,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,60,58,NA,10,NA,39,NA,NA,60,60,NA,20,NA,NA,NA,NA,NA,30,NA,NA,80,NA,NA,60,NA,NA,40,NA,NA,70,NA,70,10,60,40
74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,50,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,80,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,80,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64
76,NA,NA,NA,70,NA,NA,83,NA,NA,NA,60,NA,60,NA,NA,60,80,NA,60,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,60,80,60,NA,90,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,91,68,NA,NA,60,NA,NA,NA,40,83,NA,80,NA,60,NA,NA,80,60,NA,73,NA,80,NA,NA,NA,80,NA,NA,80,NA,85,NA,NA,NA,60,80,NA,80,NA,90,80,75,80
65,NA,60,NA,NA,NA,NA,NA,NA,50,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,65,70,NA,NA,NA,NA,NA,80,NA,50,NA,NA,60,NA,NA,NA,45,NA,50,60,NA,NA,20,80,58,NA,NA,NA,77,NA,NA,60,NA,NA,NA,80,NA,80,NA,NA,50,NA,NA,NA,80,NA,80,NA,NA,50,NA,NA,NA,NA,60,80,NA,90
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,70,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,80,NA,NA,NA,60,NA,NA,NA,NA,NA,70,NA,NA,70,70,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,60,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,65,NA,94
81,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,90,70,NA,NA,NA,NA,NA,NA,80,NA,NA,90,NA,NA,NA,NA,90,NA,70,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,85,65,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,80,70,NA,NA,NA,NA,70,NA,70,NA,NA,70
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,75,NA,81,NA,NA,NA,NA,NA,NA,60,83,NA,NA,NA,50,NA,NA,80,80,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,74,50,NA,NA,NA,NA,NA,NA,NA,NA,70,75,70
80,NA,NA,NA,80,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,90,80,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,70,60,NA,80,60,75,NA,NA,70,NA,NA,NA,90,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,83,100,80,NA,80,NA,NA,NA,80,NA,52,NA,NA,NA,NA,NA,80,NA,NA,80,NA,90,NA,NA,NA,NA,80,NA,NA,70,NA,NA,NA,80
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,60,NA,80,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,86
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,80,NA,NA,75,NA,NA,NA,NA,NA,70,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
89,NA,NA,100,NA,NA,NA,NA,80,83,NA,90,NA,NA,NA,80,NA,80,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,90,83,NA,50,NA,90,NA,100,90,80,NA,88,NA,NA,80,NA,NA,91,90,NA,NA,NA,NA,NA,90,NA,NA,80,80,NA,NA,80,91,NA,100,NA,90,NA,90,NA,80,NA,NA,NA,NA,80,NA,NA,80,NA,NA,NA,80,NA,90,NA,NA,NA,NA,NA,80,NA,80,90,NA,76
65,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,60
56,NA,NA,NA,NA,NA,NA,58,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,70
79,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,70,NA,NA,NA,NA,70,NA,80,NA,80,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,80
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,90,78,NA,NA,60,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,40,70,NA,71,NA,NA,NA,NA,80,90,NA,NA,NA,NA,NA,70,NA,70,NA,NA,NA,NA,NA,50,70,40,80
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,85,NA,NA,77,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,78,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,80,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,80,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,70,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,81,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,70,80,NA,NA,NA,NA,NA,NA,60,NA,60
84,NA,80,78,NA,NA,NA,NA,NA,NA,80,80,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,85,80,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,80,80,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,80,NA,NA,80,NA,NA,NA,60,NA,80,NA,NA,80,NA,NA,NA,NA,NA,85,NA,94
85,NA,80,NA,NA,NA,NA,NA,NA,91,NA,80,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,90,NA,80,NA,NA,75,80,NA,NA,NA,NA,NA,80,NA,83,NA,80,80,NA,NA,NA,80,NA,85,80,NA,NA,80,80,100,NA,70,NA,77,NA,NA,80,80,NA,NA,NA,NA,80,NA,NA,80,NA,NA,80,80,NA,80,NA,NA,80,NA,80,80,NA,80,90,NA,94
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,74
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,70
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,70,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,50
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,40,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,80,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,60,NA,NA,80,NA,NA,NA,NA,60,70,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,70
86,NA,NA,89,NA,85,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,90,NA,80,NA,90,NA,88,NA,NA,NA,NA,NA,80,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,50,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,80,NA,NA,NA,NA,70,NA,70,80,NA,80
85,NA,80,NA,NA,NA,NA,91,NA,91,NA,NA,NA,NA,80,NA,NA,80,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,80,80,NA,90,NA,NA,NA,NA,NA,75,NA,80,80,NA,NA,NA,72,NA,80,100,NA,NA,80,80,NA,NA,NA,NA,89,NA,NA,90,60,NA,NA,NA,NA,70,NA,NA,70,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,90
56,NA,NA,NA,50,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,50,50,88,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,60,60,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,90,NA,80,NA,NA,NA,40,NA,NA,50
78,NA,80,89,NA,NA,NA,NA,NA,75,80,80,NA,NA,NA,NA,80,60,NA,NA,NA,NA,NA,70,70,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,80,NA,80,NA,88,NA,NA,NA,NA,70,67,NA,NA,80,NA,NA,70,86,NA,80,60,70,NA,60,60,83,NA,NA,NA,70,NA,NA,70,80,NA,NA,NA,NA,70,NA,NA,70,NA,NA,NA,80,NA,80,NA,NA,80,NA,NA,NA,NA,80,80,NA,70
59,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
80,NA,NA,67,80,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,80,54,NA,NA,60,NA,NA,NA,NA,91,NA,NA,80,NA,NA,NA,NA,80,NA,NA,NA,70,NA,NA,90,70,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,80,60,NA,80
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
78,NA,NA,NA,NA,NA,NA,58,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,85,NA,NA,NA,90,90,80,NA,80,NA,75,NA,NA,50,NA,NA,80,80,NA,80,NA,NA,NA,86,68,NA,20,NA,NA,NA,60,91,NA,90,NA,NA,NA,80,NA,80,NA,79,60,NA,NA,NA,NA,70,NA,NA,80,NA,NA,80,80,NA,80,NA,NA,90,NA,80,NA,70,80
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,40,NA,80,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,80,NA,80,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,68,NA,NA,40,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,60,70,NA,75,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,70,NA,NA,NA,80,NA,NA,NA,NA,50,60,40
77,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,81,NA,NA,NA,70,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,60,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
52,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,40,NA,40,NA,50,40,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,50,NA,30,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,40,76,NA,NA,NA,NA,NA,60,NA,NA,40,NA,NA,NA,60,NA,NA,40
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,60,70,60,20,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,23,NA,NA,40,NA,NA,NA,40,NA,NA,NA,40,60,NA,NA,80,NA,80,NA,NA,NA,NA,NA,40,90,NA,NA,50,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,50,60,NA,80
74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,60,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,70
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,70,NA,NA,NA,80,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,60,70,NA,NA,NA,80,80,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,78,NA,NA,60,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,60,70,NA,82,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,70
